KCl_IDE_1-2,161.2567,172.0124,175.6888,176.631,176.5547,176.5332,176.5347,177.1952,178.6458,180.6073,183.0547,185.992,189.395,193.4599,198.1698,203.5847,209.8371,217.1905,225.691,236.5474,250.2175,267.7689,290.5993,320.3842,360.0134,413.9347,486.627,591.5237,738.3643,951.1296,1258.51
KCl_IDE_1-3,158.9143,169.0938,172.5205,173.3757,173.3568,173.3641,173.4728,174.2223,175.7816,177.8618,180.4931,183.6394,187.3407,191.5138,196.483,201.8394,208.2687,215.6166,224.0538,234.6817,247.8869,264.8566,287.0846,316.6704,356.3486,410.5195,484.2076,591.3538,742.7193,961.8163,1274.905
KCl_IDE_1-4,156.1352,165.5804,168.6151,169.3417,169.2664,169.2705,169.3264,170.1509,171.7919,173.9937,176.7095,180.0121,183.9338,188.4195,193.6066,199.4417,206.0764,213.6643,222.3718,233.1699,246.3609,262.9288,284.3392,312.825,351.861,405.933,477.3163,587.9252,744.8351,971.1014,1313.33
KCl_IDE_1-5,153.5053,162.2974,165.0766,165.6564,165.5811,165.639,165.8796,166.7646,168.4617,170.7542,173.6315,177.0761,181.1373,185.8278,191.1672,197.1862,203.99,211.663,220.2349,230.9502,244.0639,260.4778,281.7032,310.0341,348.8574,403.1033,478.1011,588.6742,744.9771,973.93,1301.86
KCl_IDE_2-1,165.4559,178.8027,179.2889,188.6765,190.2882,192.932,195.5539,198.5031,202.1455,206.6519,212.4255,219.6971,228.8544,239.957,253.4121,269.5538,288.9464,312.0205,339.8302,372.6658,412.0197,459.446,516.6847,586.0674,670.2023,772.7133,899.0021,1057.881,1250.657,1490.167,1782.027
KCl_IDE_2-2,165.0374,177.8985,184.1236,185.2365,189.4518,191.5149,194.0207,196.9006,200.5483,205.078,211.1058,218.7985,228.5864,240.5193,254.7785,271.6118,291.4117,314.6949,342.2588,374.3844,412.2856,457.7586,512.5803,579.6997,661.7717,763.0643,889.5555,1049.018,1244.012,1484.96,1778.6
KCl_IDE_2-3,163.43,175.8001,181.811,184.9023,186.9581,188.9524,191.472,194.4168,198.0466,202.7027,208.8002,216.7422,226.8656,239.2686,254.061,271.4305,291.8052,315.5356,343.4949,375.8356,413.816,459.1034,513.7127,580.356,662.2294,763.5848,890.4333,1050.346,1245.284,1485.441,1777.774
KCl_IDE_2-4,161.49,173.4138,179.1692,182.1062,184.0752,185.9529,188.2796,191.1241,194.7367,199.4135,205.5917,213.7873,224.203,237.0839,252.3378,270.1184,290.9596,315.0984,343.3803,376.0697,414.3136,459.7896,514.4362,581.071,662.886,764.1561,890.962,1050.3,1244.85,1484.008,1774.542
KCl_IDE_2-5,159.0718,170.4314,175.8183,178.583,180.5033,182.3654,184.3123,187.5514,191.1561,195.9167,202.2675,210.6977,221.5238,234.7768,250.5161,268.9098,290.2405,314.9002,343.676,376.7908,415.3548,461.032,515.8806,582.6492,664.3804,765.6981,892.2656,1051.066,1244.682,1483.696,1775.003
KCl_IDE_3-1,149.7272,183.1486,199.2292,205.6462,207.9194,208.9506,209.9773,211.1997,213.0434,215.2819,218.0329,221.3683,225.3137,230.161,235.9192,242.8927,251.2097,261.1028,273.2519,287.8115,305.7696,327.731,354.5157,387.3379,428.8799,481.5982,550.4905,651.5329,795.2229,1000.431,1289.709
